# 韩国人名用汉字
# https://github.com/rutopio/Korean-Name-Hanja-Charset
# 由于发音等不同，汉字（hanja）存在重复。
# 
# hanja	unicode	hangul	consonant

父	U+7236	부	ㅂ
爸	U+7238	파	ㅍ
爹	U+7239	다	ㄷ
爺	U+723A	야	ㅇ
爻	U+723B	효	ㅎ
爽	U+723D	상	ㅅ
爾	U+723E	이	ㅇ
牀	U+7240	상	ㅅ
牁	U+7241	가	ㄱ
牂	U+7242	장	ㅈ
牆	U+7246	장	ㅈ
片	U+7247	편	ㅍ
版	U+7248	판	ㅍ
牋	U+724B	전	ㅈ
牌	U+724C	패	ㅍ
牒	U+7252	첩	ㅊ
牓	U+7253	방	ㅂ
牔	U+7254	박	ㅂ
牖	U+7256	유	ㅇ
牘	U+7258	독	ㄷ
牙	U+7259	아	ㅇ
牚	U+725A	탱	ㅌ
牛	U+725B	우	ㅇ
牝	U+725D	빈	ㅂ
牟	U+725F	모	ㅁ
牡	U+7261	모	ㅁ
牢	U+7262	뇌	ㄴ
牢	U+7262	뢰	ㄹ
牣	U+7263	인	ㅇ
牧	U+7267	목	ㅁ
物	U+7269	물	ㅁ
牯	U+726F	고	ㄱ
牲	U+7272	생	ㅅ
牴	U+7274	저	ㅈ
牸	U+7278	자	ㅈ
特	U+7279	특	ㅌ
牽	U+727D	견	ㄱ
牾	U+727E	오	ㅇ
犀	U+7280	서	ㅅ
犁	U+7281	리	ㄹ
犁	U+7281	이	ㅇ
犂	U+7282	리	ㄹ
犂	U+7282	이	ㅇ
犇	U+7287	분	ㅂ
犍	U+728D	건	ㄱ
犒	U+7292	호	ㅎ
犖	U+7296	낙	ㄴ
犖	U+7296	락	ㄹ
犢	U+72A2	독	ㄷ
犧	U+72A7	희	ㅎ
犬	U+72AC	견	ㄱ
犯	U+72AF	범	ㅂ
犳	U+72B3	작	ㅈ
犴	U+72B4	안	ㅇ
犵	U+72B5	힐	ㅎ
狀	U+72C0	상	ㅅ
狀	U+72C0	장	ㅈ
狂	U+72C2	광	ㄱ
狄	U+72C4	적	ㅈ
狉	U+72C9	비	ㅂ
狎	U+72CE	압	ㅇ
狐	U+72D0	호	ㅎ
狒	U+72D2	비	ㅂ
狗	U+72D7	구	ㄱ
狙	U+72D9	저	ㅈ
狡	U+72E1	교	ㄱ
狢	U+72E2	학	ㅎ
狨	U+72E8	융	ㅇ
狩	U+72E9	수	ㅅ
狴	U+72F4	폐	ㅍ
狷	U+72F7	견	ㄱ
狸	U+72F8	리	ㄹ
狸	U+72F8	이	ㅇ
狹	U+72F9	협	ㅎ
狺	U+72FA	은	ㅇ
狻	U+72FB	산	ㅅ
狼	U+72FC	낭	ㄴ
狼	U+72FC	랑	ㄹ
狽	U+72FD	패	ㅍ
猉	U+7309	기	ㄱ
猊	U+730A	예	ㅇ
猒	U+7312	염	ㅇ
猓	U+7313	과	ㄱ
猖	U+7316	창	ㅊ
猗	U+7317	아	ㅇ
猗	U+7317	의	ㅇ
猘	U+7318	제	ㅈ
猙	U+7319	쟁	ㅈ
猛	U+731B	맹	ㅁ
猜	U+731C	시	ㅅ
猝	U+731D	졸	ㅈ
猢	U+7322	호	ㅎ
猥	U+7325	외	ㅇ
猧	U+7327	와	ㅇ
猨	U+7328	원	ㅇ
猩	U+7329	성	ㅅ
猪	U+732A	저	ㅈ
猫	U+732B	묘	ㅁ
猱	U+7331	노	ㄴ
猴	U+7334	후	ㅎ
猶	U+7336	유	ㅇ
猷	U+7337	유	ㅇ
猾	U+733E	활	ㅎ
猿	U+733F	원	ㅇ
獃	U+7343	애	ㅇ
獄	U+7344	옥	ㅇ
獅	U+7345	사	ㅅ
獎	U+734E	장	ㅈ
獐	U+7350	장	ㅈ
獒	U+7352	오	ㅇ
獗	U+7357	궐	ㄱ
獘	U+7358	폐	ㅍ
獜	U+735C	린	ㄹ
獜	U+735C	인	ㅇ
獠	U+7360	료	ㄹ
獠	U+7360	요	ㅇ
獨	U+7368	독	ㄷ
獩	U+7369	예	ㅇ
獪	U+736A	회	ㅎ
獫	U+736B	험	ㅎ
獬	U+736C	해	ㅎ
獯	U+736F	훈	ㅎ
獰	U+7370	녕	ㄴ
獰	U+7370	영	ㅇ
獲	U+7372	획	ㅎ
獵	U+7375	렵	ㄹ
獵	U+7375	엽	ㅇ
獷	U+7377	광	ㄱ
獸	U+7378	수	ㅅ
獺	U+737A	달	ㄷ
獻	U+737B	헌	ㅎ
獼	U+737C	미	ㅁ
玁	U+7381	험	ㅎ
玄	U+7384	현	ㅎ
玆	U+7386	자	ㅈ
率	U+7387	률	ㄹ
率	U+7387	솔	ㅅ
率	U+7387	율	ㅇ
玈	U+7388	노	ㄴ
玈	U+7388	로	ㄹ
玉	U+7389	옥	ㅇ
王	U+738B	왕	ㅇ
玎	U+738E	정	ㅈ
玏	U+738F	륵	ㄹ
玒	U+7392	강	ㄱ
玓	U+7393	적	ㅈ
玔	U+7394	천	ㅊ
玕	U+7395	간	ㄱ
玖	U+7396	구	ㄱ
玗	U+7397	우	ㅇ
玘	U+7398	기	ㄱ
玞	U+739E	부	ㅂ
玟	U+739F	민	ㅁ
玠	U+73A0	개	ㄱ
玡	U+73A1	아	ㅇ
玢	U+73A2	분	ㅂ
玤	U+73A4	방	ㅂ
玦	U+73A6	결	ㄱ
玧	U+73A7	문	ㅁ
玧	U+73A7	윤	ㅇ
玩	U+73A9	완	ㅇ
玪	U+73AA	감	ㄱ
玪	U+73AA	림	ㄹ
玪	U+73AA	임	ㅇ
玫	U+73AB	매	ㅁ
玭	U+73AD	빈	ㅂ
环	U+73AF	배	ㅂ
玲	U+73B2	령	ㄹ
玲	U+73B2	영	ㅇ
玳	U+73B3	대	ㄷ
玴	U+73B4	예	ㅇ
玷	U+73B7	점	ㅈ
玸	U+73B8	부	ㅂ
玹	U+73B9	현	ㅎ
玻	U+73BB	파	ㅍ
玼	U+73BC	체	ㅊ
玽	U+73BD	구	ㄱ
玿	U+73BF	소	ㅅ
珀	U+73C0	박	ㅂ
珀	U+73C0	백	ㅂ
珂	U+73C2	가	ㄱ
珆	U+73C6	이	ㅇ
珆	U+73C6	태	ㅌ
珇	U+73C7	조	ㅈ
珈	U+73C8	가	ㄱ
珉	U+73C9	민	ㅁ
珊	U+73CA	산	ㅅ
珌	U+73CC	필	ㅍ
珍	U+73CD	진	ㅈ
珎	U+73CE	진	ㅈ
珏	U+73CF	각	ㄱ
珒	U+73D2	진	ㅈ
珓	U+73D3	교	ㄱ
珕	U+73D5	려	ㄹ
珖	U+73D6	광	ㄱ
珗	U+73D7	선	ㅅ
珘	U+73D8	주	ㅈ
珙	U+73D9	공	ㄱ
珚	U+73DA	연	ㅇ
珝	U+73DD	후	ㅎ
珞	U+73DE	낙	ㄴ
珞	U+73DE	락	ㄹ
珠	U+73E0	주	ㅈ
珢	U+73E2	은	ㅇ
珣	U+73E3	순	ㅅ
珤	U+73E4	보	ㅂ
珥	U+73E5	이	ㅇ
珦	U+73E6	향	ㅎ
珧	U+73E7	요	ㅇ
珩	U+73E9	형	ㅎ
珪	U+73EA	규	ㄱ
珫	U+73EB	충	ㅊ
珬	U+73EC	술	ㅅ
班	U+73ED	반	ㅂ
珮	U+73EE	패	ㅍ
珴	U+73F4	아	ㅇ
珵	U+73F5	정	ㅈ
珷	U+73F7	무	ㅁ
珸	U+73F8	오	ㅇ
珹	U+73F9	성	ㅅ
珺	U+73FA	군	ㄱ
珽	U+73FD	정	ㅈ
現	U+73FE	현	ㅎ
琁	U+7401	선	ㅅ
球	U+7403	구	ㄱ
琄	U+7404	현	ㅎ
琅	U+7405	낭	ㄴ
琅	U+7405	랑	ㄹ
理	U+7406	리	ㄹ
理	U+7406	이	ㅇ
琇	U+7407	수	ㅅ
琈	U+7408	부	ㅂ
琉	U+7409	류	ㄹ
琉	U+7409	유	ㅇ
琊	U+740A	야	ㅇ
琋	U+740B	희	ㅎ
琑	U+7411	소	ㅅ
琓	U+7413	완	ㅇ
琗	U+7417	채	ㅊ
琘	U+7418	민	ㅁ
琛	U+741B	침	ㅊ
琝	U+741D	민	ㅁ
琟	U+741F	유	ㅇ
琠	U+7420	전	ㅈ
琡	U+7421	숙	ㅅ
琢	U+7422	탁	ㅌ
琤	U+7424	쟁	ㅈ
琥	U+7425	호	ㅎ
琦	U+7426	기	ㄱ
琨	U+7428	곤	ㄱ
琩	U+7429	창	ㅊ
琪	U+742A	기	ㄱ
琫	U+742B	봉	ㅂ
琬	U+742C	완	ㅇ
琭	U+742D	록	ㄹ
琮	U+742E	종	ㅈ
琯	U+742F	관	ㄱ
琰	U+7430	염	ㅇ
琱	U+7431	조	ㅈ
琲	U+7432	배	ㅂ
琳	U+7433	림	ㄹ
琳	U+7433	임	ㅇ
琴	U+7434	금	ㄱ
琵	U+7435	비	ㅂ
琶	U+7436	파	ㅍ
琸	U+7438	탁	ㅌ
琺	U+743A	법	ㅂ
琿	U+743F	혼	ㅎ
瑀	U+7440	우	ㅇ
瑁	U+7441	모	ㅁ
瑂	U+7442	미	ㅁ
瑃	U+7443	춘	ㅊ
瑄	U+7444	선	ㅅ
瑅	U+7445	제	ㅈ
瑆	U+7446	성	ㅅ
瑈	U+7448	유	ㅇ
瑉	U+7449	민	ㅁ
瑊	U+744A	감	
瑊	U+744A	함	
瑋	U+744B	위	ㅇ
瑌	U+744C	연	ㅇ
瑍	U+744D	환	ㅎ
瑎	U+744E	해	ㅎ
瑒	U+7452	창	
瑒	U+7452	탕	
瑔	U+7454	전	ㅈ
瑕	U+7455	하	ㅎ
瑖	U+7456	단	ㄷ
瑗	U+7457	원	ㅇ
瑙	U+7459	노	ㄴ
瑚	U+745A	호	ㅎ
瑛	U+745B	영	ㅇ
瑜	U+745C	유	ㅇ
瑝	U+745D	황	ㅎ
瑞	U+745E	서	ㅅ
瑟	U+745F	슬	ㅅ
瑠	U+7460	류	ㄹ
瑠	U+7460	유	ㅇ
瑢	U+7462	용	ㅇ
瑣	U+7463	쇄	ㅅ
瑤	U+7464	요	ㅇ
瑥	U+7465	온	ㅇ
瑨	U+7468	진	ㅈ
瑩	U+7469	영	ㅇ
瑩	U+7469	형	ㅎ
瑪	U+746A	마	ㅁ
瑫	U+746B	도	ㄷ
瑬	U+746C	류	ㄹ
瑭	U+746D	당	ㄷ
瑮	U+746E	률	ㄹ
瑮	U+746E	율	ㅇ
瑯	U+746F	낭	ㄴ
瑯	U+746F	랑	ㄹ
瑰	U+7470	괴	ㄱ
瑱	U+7471	진	ㅈ
瑲	U+7472	창	ㅊ
瑳	U+7473	차	ㅊ
瑽	U+747D	종	ㅈ
瑾	U+747E	근	ㄱ
璀	U+7480	최	ㅊ
璂	U+7482	기	ㄱ
璃	U+7483	리	ㄹ
璃	U+7483	이	ㅇ
璄	U+7484	경	ㄱ
璅	U+7485	소	ㅅ
璆	U+7486	구	ㄱ
璇	U+7487	선	ㅅ
璉	U+7489	련	ㄹ
璉	U+7489	연	ㅇ
璊	U+748A	문	ㅁ
璋	U+748B	장	ㅈ
璌	U+748C	인	ㅇ
璐	U+7490	노	ㄴ
璐	U+7490	로	ㄹ
璑	U+7491	무	ㅁ
璒	U+7492	등	ㄷ
璘	U+7498	린	ㄹ
璘	U+7498	인	ㅇ
璚	U+749A	경	ㄱ
璜	U+749C	황	ㅎ
璝	U+749D	괴	ㄱ
璞	U+749E	박	ㅂ
璟	U+749F	경	ㄱ
璠	U+74A0	번	ㅂ
璡	U+74A1	진	ㅈ
璣	U+74A3	기	ㄱ
璥	U+74A5	경	ㄱ
璦	U+74A6	애	ㅇ
璧	U+74A7	벽	ㅂ
璨	U+74A8	찬	ㅊ
璪	U+74AA	조	ㅈ
璫	U+74AB	당	ㄷ
璭	U+74AD	곤	ㄱ
環	U+74B0	환	ㅎ
璱	U+74B1	슬	ㅅ
璲	U+74B2	수	ㅅ
璵	U+74B5	여	ㅇ
璶	U+74B6	신	ㅅ
璸	U+74B8	빈	ㅂ
璹	U+74B9	숙	ㅅ
璼	U+74BC	남	ㄴ
璼	U+74BC	람	ㄹ
璽	U+74BD	새	ㅅ
璿	U+74BF	선	ㅅ
瓀	U+74C0	연	ㅇ
瓆	U+74C6	질	ㅈ
瓊	U+74CA	경	ㄱ
瓍	U+74CD	수	ㅅ
瓏	U+74CF	농	ㄴ
瓏	U+74CF	롱	ㄹ
瓐	U+74D0	노	ㄴ
瓐	U+74D0	로	ㄹ
瓓	U+74D3	난	ㄴ
瓓	U+74D3	란	ㄹ
瓔	U+74D4	영	ㅇ
瓘	U+74D8	관	ㄱ
瓚	U+74DA	찬	ㅊ
瓛	U+74DB	환	ㅎ
瓜	U+74DC	과	ㄱ
瓠	U+74E0	호	ㅎ
瓢	U+74E2	표	ㅍ
瓣	U+74E3	판	ㅍ
瓦	U+74E6	와	ㅇ
瓮	U+74EE	옹	ㅇ
瓳	U+74F3	호	ㅎ
瓷	U+74F7	자	ㅈ
甁	U+7501	병	ㅂ
甃	U+7503	추	ㅊ
甄	U+7504	견	ㄱ
甌	U+750C	구	ㄱ
甍	U+750D	맹	ㅁ
甎	U+750E	전	ㅈ
甑	U+7511	증	ㅈ
甓	U+7513	벽	ㅂ
甕	U+7515	옹	ㅇ
甘	U+7518	감	ㄱ
甚	U+751A	심	ㅅ
甛	U+751B	첨	ㅊ
甜	U+751C	첨	ㅊ
甞	U+751E	상	ㅅ
生	U+751F	생	ㅅ
甡	U+7521	신	ㅅ
產	U+7522	산	ㅅ
産	U+7523	산	ㅅ
甤	U+7524	유	ㅇ
甥	U+7525	생	ㅅ
甦	U+7526	소	ㅅ
用	U+7528	용	ㅇ
甪	U+752A	록	ㄹ
甫	U+752B	보	ㅂ
甬	U+752C	용	ㅇ
甯	U+752F	녕	
甯	U+752F	영	
田	U+7530	전	ㅈ
由	U+7531	유	ㅇ
甲	U+7532	갑	ㄱ
申	U+7533	신	ㅅ
男	U+7537	남	ㄴ
甸	U+7538	전	ㅈ
町	U+753A	정	ㅈ
画	U+753B	획	ㅎ
甿	U+753F	맹	ㅁ
畃	U+7543	순	ㅅ
畇	U+7547	균	ㄱ
畊	U+754A	경	ㄱ
畋	U+754B	전	ㅈ
界	U+754C	계	ㄱ
畎	U+754E	견	ㄱ
畏	U+754F	외	ㅇ
畐	U+7550	복	
畐	U+7550	핍	
畑	U+7551	전	ㅈ
畓	U+7553	답	ㄷ
畔	U+7554	반	ㅂ
留	U+7559	류	ㄹ
留	U+7559	유	ㅇ
畚	U+755A	분	ㅂ
畛	U+755B	진	ㅈ
畜	U+755C	축	ㅊ
畝	U+755D	묘	ㅁ
畝	U+755D	무	ㅁ
畢	U+7562	필	ㅍ
畤	U+7564	치	ㅊ
略	U+7565	략	ㄹ
略	U+7565	약	ㅇ
畦	U+7566	휴	ㅎ
畧	U+7567	략	ㄹ
畧	U+7567	약	ㅇ
番	U+756A	번	ㅂ
畫	U+756B	화	ㅎ
畯	U+756F	준	ㅈ
異	U+7570	이	ㅇ
畵	U+7575	화	ㅎ
當	U+7576	당	ㄷ
畸	U+7578	기	ㄱ
畺	U+757A	강	ㄱ
畼	U+757C	창	ㅊ
畿	U+757F	기	ㄱ
疆	U+7586	강	ㄱ
疇	U+7587	주	ㅈ
疈	U+7588	벽	ㅂ
疊	U+758A	첩	ㅊ
疋	U+758B	필	ㅍ
疎	U+758E	소	ㅅ
疏	U+758F	소	ㅅ
疑	U+7591	의	ㅇ
疔	U+7594	정	ㅈ
疙	U+7599	흘	ㅎ
疚	U+759A	구	ㄱ
疝	U+759D	산	ㅅ
疣	U+75A3	우	ㅇ
疥	U+75A5	개	ㄱ
疫	U+75AB	역	ㅇ
疱	U+75B1	포	ㅍ
疲	U+75B2	피	ㅍ
疳	U+75B3	감	ㄱ
疴	U+75B4	아	ㅇ
疵	U+75B5	자	ㅈ
疸	U+75B8	달	ㄷ
疹	U+75B9	진	ㅈ
疼	U+75BC	동	ㄷ
疽	U+75BD	저	ㅈ
疾	U+75BE	질	ㅈ
痀	U+75C0	구	ㄱ
痂	U+75C2	가	ㄱ
痃	U+75C3	현	ㅎ
病	U+75C5	병	ㅂ
症	U+75C7	증	ㅈ
痊	U+75CA	전	ㅈ
痍	U+75CD	이	ㅇ
痎	U+75CE	해	ㅎ
痒	U+75D2	양	ㅇ
痓	U+75D3	치	ㅊ
痔	U+75D4	치	ㅊ
痕	U+75D5	흔	ㅎ
痘	U+75D8	두	ㄷ
痙	U+75D9	경	ㄱ
痛	U+75DB	통	ㅌ
痞	U+75DE	비	ㅂ
痢	U+75E2	리	ㄹ
痢	U+75E2	이	ㅇ
痣	U+75E3	지	ㅈ
痤	U+75E4	좌	ㅈ
痧	U+75E7	사	ㅅ
痰	U+75F0	담	ㄷ
痲	U+75F2	마	ㅁ
痳	U+75F3	림	ㄹ
痳	U+75F3	임	ㅇ
痴	U+75F4	치	ㅊ
痹	U+75F9	비	ㅂ
痺	U+75FA	비	ㅂ
痼	U+75FC	고	ㄱ
痿	U+75FF	위	ㅇ
瘀	U+7600	어	ㅇ
瘁	U+7601	췌	ㅊ
瘇	U+7607	종	ㅈ
瘈	U+7608	계	ㄱ
瘉	U+7609	유	ㅇ
瘋	U+760B	풍	ㅍ
瘍	U+760D	양	ㅇ
瘐	U+7610	유	ㅇ
瘕	U+7615	하	ㅎ
瘙	U+7619	소	ㅅ
瘟	U+761F	온	ㅇ
瘠	U+7620	척	ㅊ
瘡	U+7621	창	ㅊ
瘢	U+7622	반	ㅂ
瘤	U+7624	류	ㄹ
瘤	U+7624	유	ㅇ
瘦	U+7626	수	ㅅ
瘧	U+7627	학	ㅎ
瘯	U+762F	족	ㅈ
瘰	U+7630	나	ㄴ
瘰	U+7630	라	ㄹ
瘱	U+7631	예	ㅇ
瘳	U+7633	추	ㅊ
瘴	U+7634	장	ㅈ
瘻	U+763B	누	ㄴ
瘻	U+763B	루	ㄹ
療	U+7642	료	ㄹ
療	U+7642	요	ㅇ
癃	U+7643	륭	ㄹ
癃	U+7643	융	ㅇ
癆	U+7646	노	ㄴ
癆	U+7646	로	ㄹ
癇	U+7647	간	ㄱ
癈	U+7648	폐	ㅍ
癉	U+7649	단	ㄷ
癌	U+764C	암	ㅇ
癎	U+764E	간	ㄱ
癒	U+7652	유	ㅇ
癕	U+7655	옹	ㅇ
癖	U+7656	벽	ㅂ
癘	U+7658	려	ㄹ
癘	U+7658	여	ㅇ
癜	U+765C	전	ㅈ
癡	U+7661	치	ㅊ
癢	U+7662	양	ㅇ
癤	U+7664	절	ㅈ
癥	U+7665	징	ㅈ
癧	U+7667	력	ㄹ
癧	U+7667	역	ㅇ
癨	U+7668	곽	ㄱ
癩	U+7669	나	ㄴ
癩	U+7669	라	ㄹ
癬	U+766C	선	ㅅ
癭	U+766D	영	ㅇ
癮	U+766E	은	ㅇ
癯	U+766F	구	ㄱ
癰	U+7670	옹	ㅇ
癱	U+7671	탄	ㅌ
癲	U+7672	전	ㅈ
癸	U+7678	계	ㄱ
登	U+767B	등	ㄷ
發	U+767C	발	ㅂ
白	U+767D	백	ㅂ
百	U+767E	백	ㅂ
皀	U+7680	급	ㄱ
皁	U+7681	조	ㅈ
皃	U+7683	모	ㅁ
的	U+7684	적	ㅈ
皆	U+7686	개	ㄱ
皇	U+7687	황	ㅎ
皊	U+768A	령	
皊	U+768A	영	
皋	U+768B	고	ㄱ
皎	U+768E	교	ㄱ
皐	U+7690	고	ㄱ
皒	U+7692	아	ㅇ
皓	U+7693	호	ㅎ
皖	U+7696	환	ㅎ
皗	U+7697	주	ㅈ
皙	U+7699	석	ㅅ
皚	U+769A	애	ㅇ
皛	U+769B	효	ㅎ
皜	U+769C	호	ㅎ
皝	U+769D	황	ㅎ
皞	U+769E	호	ㅎ
皤	U+76A4	파	ㅍ
皦	U+76A6	교	ㄱ
皬	U+76AC	학	ㅎ
皭	U+76AD	작	ㅈ
皮	U+76AE	피	ㅍ
皴	U+76B4	준	ㅈ
皶	U+76B6	사	ㅅ
皸	U+76B8	군	ㄱ
皺	U+76BA	추	ㅊ
皿	U+76BF	명	ㅁ
盂	U+76C2	우	ㅇ
盃	U+76C3	배	ㅂ
盆	U+76C6	분	ㅂ
盈	U+76C8	영	ㅇ
益	U+76CA	익	ㅇ
盌	U+76CC	완	ㅇ
盍	U+76CD	합	ㅎ
盎	U+76CE	앙	ㅇ
盒	U+76D2	합	ㅎ
盓	U+76D3	우	ㅇ
盔	U+76D4	회	ㅎ
盖	U+76D6	개	ㄱ
盙	U+76D9	보	ㅂ
盛	U+76DB	성	ㅅ
盜	U+76DC	도	ㄷ
盞	U+76DE	잔	ㅈ
盟	U+76DF	맹	ㅁ
盡	U+76E1	진	ㅈ
監	U+76E3	감	ㄱ
盤	U+76E4	반	ㅂ
盥	U+76E5	관	ㄱ
盧	U+76E7	노	ㄴ
盧	U+76E7	로	ㄹ
盪	U+76EA	탕	ㅌ
盬	U+76EC	고	ㄱ
目	U+76EE	목	ㅁ
盯	U+76EF	정	ㅈ
盱	U+76F1	우	ㅇ
盲	U+76F2	맹	ㅁ
直	U+76F4	직	ㅈ
盶	U+76F6	원	ㅇ
相	U+76F8	상	ㅅ
盹	U+76F9	순	ㅅ
盻	U+76FB	혜	ㅎ
盼	U+76FC	반	ㅂ
盾	U+76FE	순	ㅅ
盿	U+76FF	민	ㅁ
眀	U+7700	명	ㅁ
省	U+7701	생	ㅅ
省	U+7701	성	ㅅ
眂	U+7702	시	ㅅ
眄	U+7704	면	ㅁ
眇	U+7707	묘	ㅁ
眈	U+7708	탐	ㅌ
眉	U+7709	미	ㅁ
眊	U+770A	모	ㅁ
看	U+770B	간	ㄱ
眎	U+770E	시	ㅅ
眐	U+7710	정	ㅈ
眕	U+7715	진	ㅈ
眚	U+771A	생	ㅅ
眛	U+771B	매	ㅁ
眞	U+771E	진	ㅈ
真	U+771F	진	ㅈ
眠	U+7720	면	ㅁ
眠	U+7720	민	ㅁ
眥	U+7725	자	ㅈ
眦	U+7726	자	ㅈ
眨	U+7728	잡	ㅈ
眩	U+7729	현	ㅎ
眴	U+7734	순	ㅅ
眷	U+7737	권	ㄱ
眸	U+7738	모	ㅁ
眹	U+7739	진	ㅈ
眺	U+773A	조	ㅈ
眻	U+773B	양	ㅇ
眼	U+773C	안	ㅇ
眾	U+773E	중	ㅈ
着	U+7740	착	ㅊ
睃	U+7743	준	ㅈ
睆	U+7746	환	ㅎ
睇	U+7747	제	ㅈ
睋	U+774B	아	ㅇ
睌	U+774C	만	ㅁ
睍	U+774D	현	ㅎ
睎	U+774E	희	ㅎ
睒	U+7752	섬	ㅅ
睗	U+7757	석	ㅅ
睚	U+775A	애	ㅇ
睛	U+775B	정	ㅈ
睞	U+775E	래	ㄹ
睟	U+775F	수	ㅅ
睠	U+7760	권	ㄱ
睡	U+7761	수	ㅅ
睢	U+7762	수	ㅅ
督	U+7763	독	ㄷ
睥	U+7765	비	ㅂ
睦	U+7766	목	ㅁ
睨	U+7768	예	ㅇ
睫	U+776B	첩	ㅊ
睬	U+776C	채	ㅊ
睭	U+776D	주	ㅈ
睲	U+7772	성	ㅅ
睷	U+7777	건	ㄱ
睹	U+7779	도	ㄷ
睽	U+777D	규	ㄱ
睾	U+777E	고	ㄱ
睿	U+777F	예	ㅇ
瞋	U+778B	진	ㅈ
瞍	U+778D	수	ㅅ
瞎	U+778E	할	ㅎ
瞑	U+7791	명	ㅁ
瞖	U+7796	예	ㅇ
瞙	U+7799	막	ㅁ
瞞	U+779E	만	ㅁ
瞠	U+77A0	당	ㄷ
瞢	U+77A2	몽	ㅁ
瞥	U+77A5	별	ㅂ
瞪	U+77AA	징	ㅈ
瞬	U+77AC	순	ㅅ
瞭	U+77AD	료	ㄹ
瞭	U+77AD	요	ㅇ
瞮	U+77AE	철	ㅊ
瞰	U+77B0	감	ㄱ
瞱	U+77B1	엽	ㅇ
瞳	U+77B3	동	ㄷ
瞵	U+77B5	린	ㄹ
瞵	U+77B5	인	ㅇ
瞹	U+77B9	애	ㅇ
瞻	U+77BB	첨	ㅊ
瞼	U+77BC	검	ㄱ
瞽	U+77BD	고	ㄱ
瞿	U+77BF	구	ㄱ
矇	U+77C7	몽	ㅁ
矉	U+77C9	빈	ㅂ
矍	U+77CD	확	ㅎ
矎	U+77CE	현	
矎	U+77CE	형	
矑	U+77D1	노	ㄴ
矑	U+77D1	로	ㄹ
矗	U+77D7	촉	ㅊ
矙	U+77D9	감	ㄱ
矚	U+77DA	촉	ㅊ
矛	U+77DB	모	ㅁ
矜	U+77DC	긍	ㄱ
矞	U+77DE	율	ㅇ
矡	U+77E1	확	ㅎ
矢	U+77E2	시	ㅅ
矣	U+77E3	의	ㅇ
知	U+77E5	지	ㅈ
矦	U+77E6	후	ㅎ
矧	U+77E7	신	ㅅ
矩	U+77E9	구	ㄱ
短	U+77ED	단	ㄷ
矮	U+77EE	왜	ㅇ
矯	U+77EF	교	ㄱ
矰	U+77F0	증	ㅈ
石	U+77F3	석	ㅅ
矴	U+77F4	정	ㅈ
矸	U+77F8	간	ㄱ
矸	U+77F8	안	ㅇ
矺	U+77FA	탁	ㅌ
矼	U+77FC	강	ㄱ
矽	U+77FD	석	ㅅ
砂	U+7802	사	ㅅ
砃	U+7803	단	ㄷ
砇	U+7807	민	ㅁ
砌	U+780C	체	ㅊ
砏	U+780F	분	ㅂ
砑	U+7811	아	ㅇ
砒	U+7812	비	ㅂ
砢	U+7822	나	ㄴ
砢	U+7822	라	ㄹ
砥	U+7825	지	ㅈ
砦	U+7826	채	ㅊ
砧	U+7827	침	ㅊ
砬	U+782C	립	ㄹ
砬	U+782C	입	ㅇ
砭	U+782D	폄	ㅍ
砰	U+7830	팽	ㅍ
砱	U+7831	령	ㄹ
砲	U+7832	포	ㅍ
破	U+7834	파	ㅍ
硃	U+7843	주	ㅈ
硄	U+7844	광	ㄱ
硅	U+7845	규	ㄱ
硈	U+7848	갈	
硈	U+7848	할	
硌	U+784C	락	ㄹ
硏	U+784F	연	ㅇ
硐	U+7850	동	ㄷ
硜	U+785C	갱	ㄱ
硝	U+785D	초	ㅊ
硠	U+7860	낭	ㄴ
硠	U+7860	랑	ㄹ
硤	U+7864	협	ㅎ
硧	U+7867	용	ㅇ
硨	U+7868	차	ㅊ
硩	U+7869	척	
硩	U+7869	철	
硪	U+786A	아	ㅇ
硫	U+786B	류	ㄹ
硫	U+786B	유	ㅇ
硬	U+786C	경	ㄱ
确	U+786E	학	ㅎ
硯	U+786F	연	ㅇ
硻	U+787B	경	ㄱ
硼	U+787C	붕	ㅂ
碁	U+7881	기	ㄱ
碄	U+7884	림	ㄹ
碄	U+7884	임	ㅇ
碇	U+7887	정	ㅈ
碉	U+7889	조	ㅈ
碌	U+788C	녹	ㄴ
碌	U+788C	록	ㄹ
碍	U+788D	애	ㅇ
碎	U+788E	쇄	ㅅ
碏	U+788F	작	ㅈ
碑	U+7891	비	ㅂ
碓	U+7893	대	ㄷ
碔	U+7894	무	ㅁ
碗	U+7897	완	ㅇ
碝	U+789D	연	ㅇ
碟	U+789F	설	ㅅ
碠	U+78A0	정	ㅈ
碣	U+78A3	갈	ㄱ
碤	U+78A4	영	ㅇ
碧	U+78A7	벽	ㅂ
碨	U+78A8	외	ㅇ
碩	U+78A9	석	ㅅ
碬	U+78AC	하	ㅎ
碭	U+78AD	탕	ㅌ
確	U+78BA	확	ㅎ
碻	U+78BB	확	ㅎ
碼	U+78BC	마	ㅁ
碾	U+78BE	년	ㄴ
碾	U+78BE	연	ㅇ
磁	U+78C1	자	ㅈ
磅	U+78C5	방	ㅂ
磈	U+78C8	외	ㅇ
磉	U+78C9	상	ㅅ
磊	U+78CA	뇌	ㄴ
磊	U+78CA	뢰	ㄹ
磋	U+78CB	차	ㅊ
磎	U+78CE	계	ㄱ
